키(cm),몸무게(kg),바지총장(cm),허리둘레(inch)
150,40,97,27
150,50,97,29
150,60,97,31
150,70,97,33
155,40,98,27
155,50,98,29
155,60,98,31
155,70,98,33
160,40,100,27
160,50,100,29
160,60,100,31
160,70,100,33
160,80,100,35
165,40,102,27
165,50,102,29
165,60,102,31
165,70,102,33
165,80,102,35
165,90,102,37
170,50,104,29
170,60,104,31
170,70,104,33
170,80,104,35
170,90,104,37
170,100,104,39
170,110,104,41
175,50,106,29
175,60,106,31
175,70,106,33
175,80,106,35
175,90,106,37
175,100,106,39
175,110,106,41
175,120,106,43
180,60,108,31
180,70,108,33
180,80,108,35
180,90,108,37
180,100,108,39
180,110,108,41
180,120,108,43
180,130,108,45
185,60,110,31
185,70,110,33
185,80,110,35
185,90,110,37
185,100,110,39
185,110,110,41
185,120,110,43
185,130,110,45
185,140,110,47
190,60,112,31
190,70,112,33
190,80,112,37
190,90,112,39
190,100,112,41
190,110,112,42
190,120,112,43
190,130,112,45
190,140,112,47
